identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,evse_id,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
LSB-90016,way,way/731556033,Powerdot,6,0.0,yes,,24/7,Mobi.E,6,22.2,no,0,0.0,22.2,,,,,,6,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/5608875987,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,PT*HRZ*E*LSB*90016*5;PT*HRZ*E*LSB*90016*6,,,,,2,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/12670417614,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,PT*HRZ*E*LSB*90016*1;PT*HRZ*E*LSB*90016*2,,,,,2,3.7,,,,
LSB-90016 / LSB-90016,child_point,child/node/12670417615,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,PT*HRZ*E*LSB*90016*3;PT*HRZ*E*LSB*90016*4,,,,,2,3.7,,,,
VFR-00096,way,way/1208634756,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,,1,50.0,,,,,1,43.0,1,50.0
VFR-00096 / VFR-00096,child_point,child/node/12670369279,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*GLP*EVFR*00096*01;PT*GLP*EVFR*00096*02;PT*GLP*EVFR*00096*03,1,50.0,,,,,1,43.0,1,50.0
VFR-00043,way,way/1211961490,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
VFR-00043 / VFR-00043,child_point,child/node/12580289957,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVFR*00043*01;PT*GLP*EVFR*00043*02,,,,,2,22.0,,,,
VFR-00075,way,way/1211961517,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,120.0,no,1,22.0,98.0,,1,49.0,,,,,1,22.0,1,49.0
VFR-00075 / VFR-00075,child_point,child/node/12583091687,Galp Power,2,0.0,yes,no,24/7,Mobi.E,3,120.0,no,1,22.0,98.0,PT*GLP*EVFR*00075*01;PT*GLP*EVFR*00075*02;PT*GLP*EVFR*00075*03,1,49.0,,,,,1,22.0,1,49.0
VFR-00053/54,way,way/1219057687,Powerdot,10,444.0,yes,,24/7,Mobi.E,10,734.0,no,0,0.0,444.0,,1,50.0,,,2,22.0,,,7,120.0
VFR-00053/54 / VFR-00054,child_point,child/node/12670324390,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*VFR*00054*01;PT*HRZ*E*VFR*00054*02,,,,,2,22.0,,,,
VFR-00053/54 / VFR-00053,child_point,child/node/12670324391,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,130.0,no,0,0.0,130.0,PT*HRZ*E*VFR*00053*07;PT*HRZ*E*VFR*00053*08,1,50.0,,,,,,,1,80.0
VFR-00053/54 / VFR-00053,child_point,child/node/12670324392,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,PT*HRZ*E*VFR*00053*05;PT*HRZ*E*VFR*00053*06,,,,,,,,,2,80.0
VFR-00053/54 / VFR-00053,child_point,child/node/12670324393,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,PT*HRZ*E*VFR*00053*03;PT*HRZ*E*VFR*00053*04,,,,,,,,,2,80.0
VFR-00053/54 / VFR-00053,child_point,child/node/12670324394,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,240.0,no,0,0.0,240.0,PT*HRZ*E*VFR*00053*01;PT*HRZ*E*VFR*00053*02,,,,,,,,,2,120.0
VFR-00060,way,way/1223274019,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
VFR-00060 / VFR-00060,child_point,child/node/11422613973,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVFR*00060*01;PT*GLP*EVFR*00060*02,,,,,2,22.0,,,,
VFR-90002,way,way/1223274020,EDP,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
VFR-90002 / VFR-90002,child_point,child/node/12670369281,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*EDP*EVFR*90002*1;PT*EDP*EVFR*90002*2,,,,,2,22.0,,,,
VFR-00094,way,way/1223274022,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,,1,50.0,,,,,1,43.0,1,50.0
VFR-00094 / VFR-00094,child_point,child/node/12583118820,Galp Power,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*GLP*EVFR*00094*01;PT*GLP*EVFR*00094*02;PT*GLP*EVFR*00094*03,1,50.0,,,,,1,43.0,1,50.0
VFR-00028,way,way/1223771910,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
VFR-00028 / VFR-00028,child_point,child/node/12670369280,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVFR*00028*01;PT*GLP*EVFR*00028*02,,,,,2,22.0,,,,
VFR-00021,way,way/1223815014,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
VFR-00021 / VFR-00021,child_point,child/node/12583147551,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVFR*00021*01;PT*GLP*EVFR*00021*02,,,,,2,22.0,,,,
Hotel Nova Cruz,way,way/1224787832,Hotel Nova Cruz,2,0.0,customers,,,,2,14.8,no,0,0.0,14.8,,,,,,2,7.4,,,,
Hotel Nova Cruz / node/12580286651,child_point,child/node/12580286651,Hotel Nova Cruz,2,0.0,customers,,,,2,14.8,no,0,0.0,14.8,,,,,,2,7.4,,,,
VFR-00003,way,way/1224787833,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,,1,50.0,,,,,1,43.0,1,50.0
VFR-00003 / VFR-00003,child_point,child/node/12580286654,Galp Power,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*GLP*EVFR*00003*01;PT*GLP*EVFR*00003*02;PT*GLP*EVFR*00003*03,1,50.0,,,,,1,43.0,1,50.0
Loulé Supercharger,way,way/1226019109,Tesla,16,1330.0,yes,,24/7,Tesla,16,4000.0,no,0,0.0,1330.0,,,,,,,,,,16,250.0
Loulé Supercharger / 2D,child_point,child/node/8085492053,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 1A,child_point,child/node/10901495682,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 1B,child_point,child/node/10901495683,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 1C,child_point,child/node/10901495684,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 1D,child_point,child/node/10901495685,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 2A,child_point,child/node/10901495686,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 2B,child_point,child/node/10901495687,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 2C,child_point,child/node/10901495688,Tesla,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 4D,child_point,child/node/13067537127,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 4C,child_point,child/node/13067537128,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 4B,child_point,child/node/13067537129,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 4A,child_point,child/node/13067537130,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 3C,child_point,child/node/13067537131,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 3D,child_point,child/node/13067537132,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 3B,child_point,child/node/13067537133,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Loulé Supercharger / 3A,child_point,child/node/13067537134,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
VFR-00029,way,way/1226253323,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
VFR-00029 / VFR-00029,child_point,child/node/12583091696,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVFR*00029*01;PT*GLP*EVFR*00029*02,,,,,2,22.0,,,,
VFR-00037,way,way/1226253326,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
VFR-00037 / VFR-00037,child_point,child/node/11382360058,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVFR*00037*01;PT*GLP*EVFR*00037*02,,,,,2,22.0,,,,
VFR-00098,way,way/1226253332,Galp Power,2,0.0,yes,,24/7,Mobi.E,2,180.0,no,0,0.0,180.0,,,,,,,,,,2,90.0
VFR-00098 / VFR-00098,child_point,child/node/12580254418,Galp Power,2,90.0,yes,no,24/7,Mobi.E,2,180.0,no,0,0.0,90.0,PT*GLP*EVFR*00098*01;PT*GLP*EVFR*00098*02,,,,,,,,,2,90.0
Alcantarilha Supercharger,way,way/1226341011,Tesla,20,1650.0,yes,,24/7,Tesla,20,4200.0,no,0,0.0,1650.0,,,,,,,,,,20,250.0
Alcantarilha Supercharger / 1A,child_point,child/node/11372259370,Tesla,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,,,,,,,,,,1,150.0
Alcantarilha Supercharger / 1B,child_point,child/node/11372259371,Tesla,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,,,,,,,,,,1,150.0
Alcantarilha Supercharger / 2A,child_point,child/node/11372259372,Tesla,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,,,,,,,,,,1,150.0
Alcantarilha Supercharger / 2B,child_point,child/node/11372259373,Tesla,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,,,,,,,,,,1,150.0
Alcantarilha Supercharger / 3A,child_point,child/node/11372259374,Tesla,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,,,,,,,,,,1,150.0
Alcantarilha Supercharger / 3B,child_point,child/node/11372259375,Tesla,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,,,,,,,,,,1,150.0
Alcantarilha Supercharger / 4A,child_point,child/node/11372259376,Tesla,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,,,,,,,,,,1,150.0
Alcantarilha Supercharger / 4B,child_point,child/node/11372259377,Tesla,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,,,,,,,,,,1,150.0
Alcantarilha Supercharger / 7D,child_point,child/node/13064377016,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 7C,child_point,child/node/13064377017,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 7A,child_point,child/node/13064377018,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 7B,child_point,child/node/13064377019,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 6A,child_point,child/node/13064377020,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 6B,child_point,child/node/13064377021,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 6C,child_point,child/node/13064377022,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 6D,child_point,child/node/13064377023,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 5A,child_point,child/node/13064377024,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 5B,child_point,child/node/13064377025,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 5C,child_point,child/node/13064377026,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
Alcantarilha Supercharger / 5D,child_point,child/node/13064377029,Tesla,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,,,,,,,,,,1,250.0
VFR-00016,way,way/1230721803,EDP,2,0.0,yes,,24/7,Mobi.E,2,170.0,no,0,0.0,170.0,,1,50.0,,,,,,,1,120.0
VFR-00016 / VFR-00016,child_point,child/node/12580286648,EDP,2,0.0,yes,no,24/7,Mobi.E,2,170.0,no,0,0.0,170.0,PT*EDP*EVFR*00016*1;PT*EDP*EVFR*00016*2,1,50.0,,,,,,,1,120.0
LSB-?????,way,way/1231647389,,12,0.0,yes,,24/7,,0,0.0,yes,-12,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-01061,child_point,child/node/3724919259,,0,0.0,yes,,,,0,0.0,yes,0,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-01062,child_point,child/node/3724919260,,0,0.0,yes,,,,0,0.0,yes,0,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11422598928,EMEL,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11422598929,EMEL,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11422598930,EMEL,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11422598931,EMEL,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11422598932,EMEL,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11422598933,EMEL,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
VFR-00077,way,way/1232497560,Iberdrola,2,0.0,yes,,24/7,Mobi.E,2,22.0,no,0,0.0,22.0,,,,,,,,2,11.0,,
VFR-00077 / VFR-00077,child_point,child/node/11278275600,Iberdrola,2,0.0,yes,no,24/7,Mobi.E,2,22.0,no,0,0.0,22.0,PT*IBD*E*VFR*00077*01;PT*IBD*E*VFR*00077*02,,,,,,,2,11.0,,
LSB-?????,way,way/1232528603,,12,0.0,yes,,24/7,,0,0.0,yes,-12,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-01120,child_point,child/node/3703042043,,0,0.0,yes,,,,0,0.0,yes,0,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-01121,child_point,child/node/3703042044,,0,0.0,yes,,,,0,0.0,yes,0,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11432988428,unknown,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11432988429,unknown,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11432988434,unknown,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11432988435,unknown,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11432988436,unknown,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
LSB-????? / LSB-?????,child_point,child/node/11432988437,unknown,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
VIS-00088…96,way,way/1233426757,Atlante,18,550.0,yes,,24/7,Mobi.E,18,750.0,no,0,0.0,550.0,,4,50.0,,,10,22.0,,,4,150.0
VIS-00088…96 / VIS-00092,child_point,child/node/8225238548,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*EVIS*00092*1;PT*ATL*EVIS*00092*2,,,,,2,22.0,,,,
VIS-00088…96 / VIS-00088,child_point,child/node/8225238549,Atlante,2,150.0,yes,no,24/7,Mobi.E,2,200.0,no,0,0.0,150.0,PT*ATL*EVIS*00088*1;PT*ATL*EVIS*00088*2,1,50.0,,,,,,,1,150.0
VIS-00088…96 / VIS-00089,child_point,child/node/8225238550,Atlante,2,60.0,yes,no,24/7,Mobi.E,2,110.0,no,0,0.0,60.0,PT*ATL*EVIS*00089*1;PT*ATL*EVIS*00089*2,1,50.0,,,,,,,1,60.0
VIS-00088…96 / VIS-00096,child_point,child/node/10901519583,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*EVIS*00096*1;PT*ATL*EVIS*00096*2,,,,,2,22.0,,,,
VIS-00088…96 / VIS-00095,child_point,child/node/10901519584,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*EVIS*00095*1;PT*ATL*EVIS*00095*2,,,,,2,22.0,,,,
VIS-00088…96 / VIS-00094,child_point,child/node/10901519585,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*EVIS*00094*1;PT*ATL*EVIS*00094*2,,,,,2,22.0,,,,
VIS-00088…96 / VIS-00093,child_point,child/node/10901519586,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*EVIS*00093*1;PT*ATL*EVIS*00093*2,,,,,2,22.0,,,,
VIS-00088…96 / VIS-00091,child_point,child/node/10901519587,Atlante,2,60.0,yes,no,24/7,Mobi.E,2,110.0,no,0,0.0,60.0,PT*ATL*EVIS*00091*1;PT*ATL*EVIS*00091*2,1,50.0,,,,,,,1,60.0
VIS-00088…96 / VIS-00090,child_point,child/node/10901519588,Atlante,2,60.0,yes,no,24/7,Mobi.E,2,110.0,no,0,0.0,60.0,PT*ATL*EVIS*00090*1;PT*ATL*EVIS*00090*2,1,50.0,,,,,,,1,60.0
VFR-00056,way,way/1285323423,Galp Power,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,,1,50.0,,,,,1,43.0,1,50.0
VFR-00056 / VFR-00056,child_point,child/node/12583091688,Galp Power,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*GLP*EVFR*00056*01;PT*GLP*EVFR*00056*02;PT*GLP*EVFR*00056*03,1,50.0,,,,,1,43.0,1,50.0
ABF-90007,way,way/1329498284,Powerdot,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
ABF-90007 / ABF-90007,child_point,child/node/12670330739,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*ABF*90007*01;PT*HRZ*E*ABF*90007*02,,,,,2,22.0,,,,
ABF-00078,way,way/1329500709,KLC Serviços,2,0.0,yes,,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,,,,,,
ABF-00078 / ABF-00078,child_point,child/node/12621522724,KLC Serviços,2,0.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,PT*KLS*E*ABF*00078*01;PT*KLS*E*ABF*00078*02,,,,,,,,,,
CNT-00008/11/25/26,way,way/1342439754,EDP,8,620.0,yes,,24/7,Mobi.E,9,1792.0,no,1,22.0,620.0,,1,50.0,,,1,22.0,,,7,300.0
CNT-00008/11/25/26 / CNT-00011,child_point,child/node/8969154280,EDP,2,142.0,yes,no,24/7,Mobi.E,3,192.0,no,1,22.0,142.0,PT*EDP*ECNT*00011*1;PT*EDP*ECNT*00011*2;PT*EDP*ECNT*00011*3,1,50.0,,,1,22.0,,,1,120.0
CNT-00008/11/25/26 / CNT-00008,child_point,child/node/8969154281,EDP,2,200.0,yes,no,24/7,Mobi.E,2,400.0,no,0,0.0,200.0,PT*EDP*ECNT*00008*1;PT*EDP*ECNT*00008*2,,,,,,,,,2,200.0
CNT-00008/11/25/26 / CNT-00026,child_point,child/node/12070592522,EDP,2,300.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,300.0,PT*EDP*ECNT*00026*1;PT*EDP*ECNT*00026*2,,,,,,,,,2,300.0
CNT-00008/11/25/26 / CNT-00025,child_point,child/node/12070592523,EDP,2,300.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,300.0,PT*EDP*ECNT*00025*1;PT*EDP*ECNT*00025*2,,,,,,,,,2,300.0
SNT-00186…191/201…203,way,way/1345285584,Enable Mobility Solutions,18,1892.0,yes,,24/7,,16,3572.0,no,-2,22.0,1892.0,,3,50.0,,,,,1,22.0,12,400.0
SNT-00186…191/201…203 / SNT-00188,child_point,child/node/9528248001,Enable Mobility Solutions,2,82.0,yes,yes,24/7,Mobi.E,3,132.0,no,1,22.0,82.0,PT*ENB*E*SNT*00188*01;PT*ENB*E*SNT*00188*02;PT*ENB*E*SNT*00188*03,1,50.0,,,,,1,22.0,1,60.0
SNT-00186…191/201…203 / SNT-00190,child_point,child/node/9528248002,Enable Mobility Solutions,2,30.0,yes,yes,24/7,Mobi.E,2,60.0,no,0,0.0,30.0,PT*ENB*E*SNT*00190*01;PT*ENB*E*SNT*00190*02,1,30.0,,,,,,,1,30.0
SNT-00186…191/201…203 / SNT-00189,child_point,child/node/10901394384,Enable Mobility Solutions,2,30.0,yes,yes,24/7,Mobi.E,2,60.0,no,0,0.0,30.0,PT*ENB*E*SNT*00189*01;PT*ENB*E*SNT*00189*02,1,30.0,,,,,,,1,30.0
SNT-00186…191/201…203 / SNT-00191,child_point,child/node/10901394385,Enable Mobility Solutions,2,30.0,yes,yes,24/7,Mobi.E,0,0.0,yes,-2,0.0,30.0,PT*ENB*E*SNT*00191*01;PT*ENB*E*SNT*00191*02,,,,,,,,,,
SNT-00186…191/201…203 / SNT-00187,child_point,child/node/10901394386,Enable Mobility Solutions,1,120.0,yes,yes,24/7,Mobi.E,1,120.0,no,0,0.0,120.0,PT*ENB*E*SNT*00187*01,,,,,,,,,1,120.0
SNT-00186…191/201…203 / SNT-00201,child_point,child/node/12890600663,Enable Mobility Solutions,2,400.0,yes,yes,24/7,Mobi.E,2,800.0,no,0,0.0,400.0,PT*ENB*E*SNT*00201*01;PT*ENB*E*SNT*00201*02,,,,,,,,,2,400.0
SNT-00186…191/201…203 / SNT-00202,child_point,child/node/12890600664,Enable Mobility Solutions,2,400.0,yes,yes,24/7,Mobi.E,2,800.0,no,0,0.0,400.0,PT*ENB*E*SNT*00202*01;PT*ENB*E*SNT*00202*02,,,,,,,,,2,400.0
SNT-00186…191/201…203 / SNT-00203,child_point,child/node/12890600665,Enable Mobility Solutions,2,400.0,yes,yes,24/7,Mobi.E,2,800.0,no,0,0.0,400.0,PT*ENB*E*SNT*00203*01;PT*ENB*E*SNT*00203*02,,,,,,,,,2,400.0
SNT-00186…191/201…203 / SNT-00186,child_point,child/node/12890600666,Enable Mobility Solutions,2,400.0,yes,yes,24/7,Mobi.E,2,800.0,no,0,0.0,400.0,PT*ENB*E*SNT*00186*01;PT*ENB*E*SNT*00186*02,,,,,,,,,2,400.0
CNT-00007/10/23/24,way,way/1345490798,EDP,8,620.0,yes,,24/7,Mobi.E,9,1762.0,no,1,22.0,620.0,,1,50.0,,,1,22.0,,,7,300.0
CNT-00007/10/23/24 / CNT-00010,child_point,child/node/8969154278,EDP,2,0.0,yes,no,24/7,Mobi.E,3,162.0,no,1,22.0,140.0,PT*EDP*ECNT*00010*1;PT*EDP*ECNT*00010*2;PT*EDP*ECNT*00010*3,1,50.0,,,1,22.0,,,1,90.0
CNT-00007/10/23/24 / CNT-00007,child_point,child/node/8969154279,EDP,2,0.0,yes,no,24/7,Mobi.E,2,400.0,no,0,0.0,400.0,PT*EDP*ECNT*00007*1;PT*EDP*ECNT*00007*2,,,,,,,,,2,200.0
CNT-00007/10/23/24 / CNT-00024,child_point,child/node/12070592524,EDP,2,0.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,600.0,PT*EDP*ECNT*00024*1;PT*EDP*ECNT*00024*2,,,,,,,,,2,300.0
CNT-00007/10/23/24 / CNT-00023,child_point,child/node/12070592525,EDP,2,0.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,600.0,PT*EDP*ECNT*00023*1;PT*EDP*ECNT*00023*2,,,,,,,,,2,300.0
Alcácer do Sal Supercharger,way,way/1345525835,Tesla,32,2800.0,yes,,24/7,Tesla,32,8000.0,no,0,0.0,2800.0,,,,,,,,,,32,250.0
Alcácer do Sal Supercharger / node/5746376269,child_point,child/node/5746376269,,0,0.0,yes,,,,0,0.0,yes,0,0.0,0.0,,,,,,,,,,,
Alcácer do Sal Supercharger / node/12447536816,child_point,child/node/12447536816,,0,0.0,yes,,,,0,0.0,yes,0,0.0,0.0,,,,,,,,,,,
Alcácer do Sal Supercharger / node/12447536817,child_point,child/node/12447536817,,0,0.0,yes,,,,0,0.0,yes,0,0.0,0.0,,,,,,,,,,,
Alcácer do Sal Supercharger / node/12447536818,child_point,child/node/12447536818,,0,0.0,yes,,,,0,0.0,yes,0,0.0,0.0,,,,,,,,,,,
