identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,evse_id,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
ADPORTUGAL-00101,unassigned_point,node/8402820355,Águas de Portugal,2,0.0,private,no,24/7,,3,143.0,no,1,43.0,100.0,,1,50.0,,,,,1,43.0,1,50.0
ADPORTUGAL-00107,unassigned_point,node/8402840619,Águas de Portugal,2,0.0,private,no,24/7,,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
OFR-00001,unassigned_point,node/8403278699,Prio.E,2,0.0,private,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*PRI*E*OFR*00001*01,,,,,2,22.0,,,,
CML-00045,unassigned_point,node/8405679399,EV Power,2,0.0,private,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*EVP*E*CML*00045*01;PT*EVP*E*CML*00045*012,1,50.0,,,,,1,43.0,1,50.0
CSC-00043,unassigned_point,node/8406002021,EDP,1,0.0,customers,no,24/7,Mobi.E,1,7.4,no,0,0.0,7.4,PT*EDP*ECSC*00043*1,,,,,1,7.4,,,,
CLB-00008,unassigned_point,node/8406136876,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*EDP*ECLB*00008*1;PT*EDP*ECLB*00008*2,,,,,2,22.0,,,,
TRF-00012,unassigned_point,node/8408172093,Galp Geste,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*GLG*ETRF*00012*01;PT*GLG*ETRF*00012*02;PT*GLG*ETRF*00012*03,1,50.0,,,,,1,43.0,1,50.0
INIAV-00008,unassigned_point,node/8410120618,Atlante,2,0.0,private,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*E*INIAV*00008*01;PT*ATL*E*INIAV*00008*02,,,,,2,22.0,,,,
OHP-00013,unassigned_point,node/8410129829,KLC Serviços,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*KLS*E*OHP*00013*01;PT*KLS*E*OHP*00013*02,,,,,2,22.0,,,,
LRA-00024,unassigned_point,node/8413110310,Powerdot,2,0.0,yes,no,Mo-Sa 09:00-20:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*LRA*00024*01;PT*HRZ*E*LRA*00024*02,,,,,2,22.0,,,,
AZB-00004,unassigned_point,node/8413287634,Powerdot,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*HRZ*E*AZB*00004*01;PT*HRZ*E*AZB*00004*02;PT*HRZ*E*AZB*00004*03,1,50.0,,,,,1,43.0,1,50.0
PDL-00007,unassigned_point,node/8416551880,SEGMA,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*SEG*E*PDL*00007*01;PT*SEG*E*PDL*00007*02,,,,,2,22.0,,,,
BJA-00009,unassigned_point,node/8416573815,Powerdot,2,0.0,yes,no,Mo-Sa 09:00-20:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*BJA*00009*01;PT*HRZ*E*BJA*00009*02,,,,,2,22.0,,,,
STC-00004,unassigned_point,node/8416618399,Powerdot,2,0.0,yes,no,Mo-Sa 09:00-20:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*STC*00004*01;PT*HRZ*E*STC*00004*02,,,,,2,22.0,,,,
STC-00019,unassigned_point,node/8416683217,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*GLP*ESTC*00019*01;PT*GLP*ESTC*00019*02;PT*GLP*ESTC*00019*03,1,50.0,,,,,1,43.0,1,50.0
GDM-00058,unassigned_point,node/8418602785,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*GLP*EGDM*00058*01;PT*GLP*EGDM*00058*02;PT*GLP*EGDM*00058*03,1,50.0,,,,,1,43.0,1,50.0
CSC-00413,unassigned_point,node/8418608434,Galp Power,2,72.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,72.0,PT*GLP*ECSC*00413*01;PT*GLP*ECSC*00413*02;PT*GLP*ECSC*00413*03,1,50.0,,,,,1,43.0,1,50.0
MAI-00074,unassigned_point,node/8418653275,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*GLP*EMAI*00074*01;PT*GLP*EMAI*00074*02;PT*GLP*EMAI*00074*03,1,50.0,,,,,1,43.0,1,50.0
VNG-00196,unassigned_point,node/8418656993,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*GLP*EVNG*00196*01;PT*GLP*EVNG*00196*02;PT*GLP*EVNG*00196*03,1,50.0,,,,,1,43.0,1,50.0
EVR-00019,unassigned_point,node/8418660474,Powerdot,2,0.0,yes,no,Mo-Sa 09:00-20:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*EVR*00019*01;PT*HRZ*E*EVR*00019*02,,,,,2,22.0,,,,
SXL-00073,unassigned_point,node/8418664860,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*GLP*ESXL*00073*01;PT*GLP*ESXL*00073*02;PT*GLP*ESXL*00073*03,1,50.0,,,,,1,43.0,1,50.0
VCD-00058,unassigned_point,node/8418677777,Galp Power,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*GLP*EVCD*00058*01;PT*GLP*EVCD*00058*02;PT*GLP*EVCD*00058*03,1,50.0,,,,,1,43.0,1,50.0
ALM-00006,unassigned_point,node/8418708474,EDP,2,0.0,yes,no,08:00-20:00,Mobi.E,2,7.4,no,0,0.0,7.4,PT*EDP*E*ALM*90006*01;PT*EDP*E*ALM*90006*02,,,,,2,3.7,,,,
PNV-00002,unassigned_point,node/8419230189,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*EDP*EPNV*00002*1;PT*EDP*EPNV*00002*2,,,,,2,22.0,,,,
CTB-00015,unassigned_point,node/8419257321,Powerdot,2,0.0,yes,no,Mo-Sa 09:00-20:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*CTB*00015*01;PT*HRZ*E*CTB*00015*02,,,,,2,22.0,,,,
PFR-00002,unassigned_point,node/8419272991,Iberdrola,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,no,0,0.0,44.0,PT*IBD*E*PFR*00002*01;PT*IBD*E*PFR*00002*02,,,,,2,22.0,,,,
CBR-00014,unassigned_point,node/8419283215,Prio.E,1,0.0,yes,no,Mo-Fr 07:30-22:00; Sa 08:30-15:00,Mobi.E,1,22.0,no,0,0.0,22.0,PT*PRI*E*CBR*00014*1,,,,,1,22.0,,,,
AGD-00005,unassigned_point,node/8419294373,Iberdrola,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,no,0,0.0,44.0,PT*IBD*E*AGD*00005*01;PT*IBD*E*AGD*00005*02,,,,,2,22.0,,,,
VIS-00007,unassigned_point,node/8419322091,Powerdot,2,0.0,yes,no,Mo-Sa 09:00-20:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*VIS*00007*01;PT*HRZ*E*VIS*00007*02,,,,,2,22.0,,,,
PRT-00071,unassigned_point,node/8419376743,Iberdrola,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,no,0,0.0,44.0,PT*IBD*E*PRT*00071*01;PT*IBD*E*PRT*00071*02,,,,,2,22.0,,,,
MAI-00016,unassigned_point,node/8419391038,Iberdrola,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,no,0,0.0,44.0,PT*IBD*E*MAI*00016*1;PT*IBD*E*MAI*00016*2,,,,,2,22.0,,,,
VCT-00017,unassigned_point,node/8419412941,Iberdrola,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,no,0,0.0,44.0,PT*IBD*E*VCT*00017*01;PT*IBD*E*VCT*00017*02,,,,,2,22.0,,,,
PNF-00006,unassigned_point,node/8420525170,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*PNF*00006*01;PT*HRZ*E*PNF*00006*02,,,,,,,2,22.0,,
LSB-00193,unassigned_point,node/8421135264,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*LSB*00193*1,,,,,1,22.0,,,,
LSB-00686,unassigned_point,node/8421271277,True Kare,2,0.0,yes,no,06:00-24:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*TRK*E*LSB*00686*01;PT*TRK*E*LSB*00686*02,,,,,2,22.0,,,,
OER-00061,unassigned_point,node/8421289206,Powerdot,2,0.0,customers,no,10:00-20:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*OER*00061*01;PT*HRZ*E*OER*00061*02,,,,,2,22.0,,,,
CSC-00060,unassigned_point,node/8421340450,Powerdot,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*HRZ*E*CSC*00060*01;PT*HRZ*E*CSC*00060*02;PT*HRZ*E*CSC*00060*03,1,50.0,,,,,1,43.0,1,50.0
VFC-00001,unassigned_point,node/8426950722,SEGMA,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*SEG*E*VFC*00001*01;PT*SEG*E*VFC*00001*02,,,,,2,22.0,,,,
Porsche Destination Charging,unassigned_point,node/8427006803,Porsche,2,0.0,customers,,,Porsche,2,22.0,no,0,0.0,22.0,,,,,,,,2,11.0,,
Monte da Vilarinha Porsche Destination Charging,unassigned_point,node/8427068928,Porsche,1,0.0,customers,,,Porsche,1,11.0,no,0,0.0,11.0,,,,,,,,1,11.0,,
MTR-00008,unassigned_point,node/8427190382,Alfa Energia,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ALF*E*MTR*00008*01;PT*ALF*E*MTR*00008*02,,,,,2,22.0,,,,
MTR-00010,unassigned_point,node/8427199534,Alfa Energia,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ALF*E*MTR*00010*01;PT*ALF*E*MTR*00010*02,,,,,2,22.0,,,,
VNG-00059,unassigned_point,node/8427219820,Powerdot,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*HRZ*E*VNG*00059*01;PT*HRZ*E*VNG*00059*02;PT*HRZ*E*VNG*00059*03,1,50.0,,,,,1,43.0,1,50.0
Fafe Diesel Bosch,unassigned_point,node/8431722290,Fafe Diesel,2,0.0,customers,,,,1,22.0,no,-1,0.0,22.0,,,,,,1,22.0,,,,
Electrocostura,unassigned_point,node/8432045101,Electrocostura,1,0.0,customers,,,,0,0.0,no,-1,0.0,0.0,,,,,,,,,,,
SNT-00029,unassigned_point,node/8435052810,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,14.8,no,0,0.0,14.8,PT*GLP*ESNT*00029*01;PT*GLP*ESNT*00029*02,,,,,2,7.4,,,,
LSB-00186,unassigned_point,node/8435145185,Galp Power,1,0.0,yes,no,24/7,Mobi.E,2,14.8,no,1,7.4,7.4,PT*GLP*ELSB*00186*01,,,,,2,7.4,,,,
AJT-00004,unassigned_point,node/8435997505,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*AJT*90004*1;PT*HRZ*E*AJT*90004*2,,,,,2,22.0,,,,
AND-00003,unassigned_point,node/8436153032,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*AND*00003*01;PT*HRZ*E*AND*00003*02,,,,,2,22.0,,,,
VLP-00002,unassigned_point,node/8439046055,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*EVLP*80002*1;PT*ATL*EVLP*80002*2,,,,,2,22.0,,,,
