identifier,type,id,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:tesla_destination,socket:tesla_supercharger_ccs,socket:type2,socket:type2_cable,socket:type2_combo
LSB-90016,way,way/731556033,6,0.0,yes,,24/7,Mobi.E,6,22.2,no,0,0.0,22.2,0,0,0,6,0,0
LSB-90016 / LSB-90016,child_point,child/node/5608875987,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,0,0,0,2,0,0
LSB-90016 / LSB-90016,child_point,child/node/12670417614,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,0,0,0,2,0,0
LSB-90016 / LSB-90016,child_point,child/node/12670417615,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,0,0,0,2,0,0
VFR-00096,way,way/1208634756,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
VFR-00096 / VFR-00096,child_point,child/node/12670369279,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,1,0,0,0,1,1
VFR-00043,way,way/1211961490,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00043 / VFR-00043,child_point,child/node/12580289957,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00075,way,way/1211961517,2,0.0,yes,,24/7,Mobi.E,3,120.0,no,1,22.0,98.0,1,0,0,0,1,1
VFR-00075 / VFR-00075,child_point,child/node/12583091687,2,0.0,yes,no,24/7,Mobi.E,3,120.0,no,1,22.0,98.0,1,0,0,0,1,1
VFR-00053/54,way,way/1219057687,10,444.0,yes,,24/7,Mobi.E,10,734.0,no,0,0.0,444.0,1,0,0,2,0,7
VFR-00053/54 / VFR-00054,child_point,child/node/12670324390,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00053/54 / VFR-00053,child_point,child/node/12670324391,2,0.0,yes,no,24/7,Mobi.E,2,130.0,no,0,0.0,130.0,1,0,0,0,0,1
VFR-00053/54 / VFR-00053,child_point,child/node/12670324392,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,0,0,0,0,0,2
VFR-00053/54 / VFR-00053,child_point,child/node/12670324393,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,0,0,0,0,0,2
VFR-00053/54 / VFR-00053,child_point,child/node/12670324394,2,0.0,yes,no,24/7,Mobi.E,2,240.0,no,0,0.0,240.0,0,0,0,0,0,2
VFR-00060,way,way/1223274019,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00060 / VFR-00060,child_point,child/node/11422613973,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-90002,way,way/1223274020,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-90002 / VFR-90002,child_point,child/node/12670369281,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00094,way,way/1223274022,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
VFR-00094 / VFR-00094,child_point,child/node/12583118820,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
VFR-00028,way,way/1223771910,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00028 / VFR-00028,child_point,child/node/12670369280,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00021,way,way/1223815014,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00021 / VFR-00021,child_point,child/node/12583147551,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
Hotel Nova Cruz,way,way/1224787832,2,0.0,customers,,,,2,14.8,no,0,0.0,14.8,0,0,0,2,0,0
Hotel Nova Cruz / node/12580286651,child_point,child/node/12580286651,2,0.0,customers,,,,2,14.8,no,0,0.0,14.8,0,0,0,2,0,0
VFR-00003,way,way/1224787833,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
VFR-00003 / VFR-00003,child_point,child/node/12580286654,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
Loulé Supercharger,way,way/1226019109,16,1330.0,yes,,24/7,Tesla,16,4000.0,no,0,0.0,1330.0,0,0,0,0,0,16
Loulé Supercharger / 2D,child_point,child/node/8085492053,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 1A,child_point,child/node/10901495682,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 1B,child_point,child/node/10901495683,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 1C,child_point,child/node/10901495684,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 1D,child_point,child/node/10901495685,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 2A,child_point,child/node/10901495686,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 2B,child_point,child/node/10901495687,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 2C,child_point,child/node/10901495688,1,0.0,yes,no,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 4D,child_point,child/node/13067537127,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 4C,child_point,child/node/13067537128,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 4B,child_point,child/node/13067537129,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 4A,child_point,child/node/13067537130,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 3C,child_point,child/node/13067537131,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 3D,child_point,child/node/13067537132,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 3B,child_point,child/node/13067537133,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Loulé Supercharger / 3A,child_point,child/node/13067537134,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
VFR-00029,way,way/1226253323,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00029 / VFR-00029,child_point,child/node/12583091696,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00037,way,way/1226253326,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00037 / VFR-00037,child_point,child/node/11382360058,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFR-00010,way,way/1226253332,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
VFR-00010 / VFR-00010,child_point,child/node/12580254418,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
Alcantarilha Supercharger,way,way/1226341011,20,1650.0,yes,,24/7,Tesla,20,4200.0,no,0,0.0,1650.0,0,0,0,0,0,20
Alcantarilha Supercharger / 1A,child_point,child/node/11372259370,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Alcantarilha Supercharger / 1B,child_point,child/node/11372259371,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Alcantarilha Supercharger / 2A,child_point,child/node/11372259372,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Alcantarilha Supercharger / 2B,child_point,child/node/11372259373,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Alcantarilha Supercharger / 3A,child_point,child/node/11372259374,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Alcantarilha Supercharger / 3B,child_point,child/node/11372259375,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Alcantarilha Supercharger / 4A,child_point,child/node/11372259376,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Alcantarilha Supercharger / 4B,child_point,child/node/11372259377,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Alcantarilha Supercharger / 7D,child_point,child/node/13064377016,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 7C,child_point,child/node/13064377017,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 7A,child_point,child/node/13064377018,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 7B,child_point,child/node/13064377019,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 6A,child_point,child/node/13064377020,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 6B,child_point,child/node/13064377021,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 6C,child_point,child/node/13064377022,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 6D,child_point,child/node/13064377023,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 5A,child_point,child/node/13064377024,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 5B,child_point,child/node/13064377025,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 5C,child_point,child/node/13064377026,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Alcantarilha Supercharger / 5D,child_point,child/node/13064377029,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
VFR-00016,way,way/1230721803,2,0.0,yes,,24/7,Mobi.E,2,170.0,no,0,0.0,170.0,1,0,0,0,0,1
VFR-00016 / VFR-00016,child_point,child/node/12580286648,2,0.0,yes,no,24/7,Mobi.E,2,170.0,no,0,0.0,170.0,1,0,0,0,0,1
LSB-?????,way,way/1231647389,12,0.0,yes,,24/7,,0,0.0,yes,-12,0.0,0.0,,,,,,
VFR-00077,way,way/1232497560,2,0.0,yes,,24/7,,2,22.0,no,0,0.0,22.0,0,0,0,0,2,0
VFR-00077 / VFR-00077,child_point,child/node/11278275600,2,0.0,yes,no,24/7,Mobi.E,2,22.0,no,0,0.0,22.0,0,0,0,0,2,0
LSB-?????,way,way/1232528603,12,0.0,yes,,24/7,,0,0.0,yes,-12,0.0,0.0,,,,,,
VIS-00088…96,way,way/1233426757,18,550.0,yes,,24/7,Mobi.E,18,750.0,no,0,0.0,550.0,4,0,0,10,0,4
VIS-00088…96 / VIS-00092,child_point,child/node/8225238548,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VIS-00088…96 / VIS-00088,child_point,child/node/8225238549,2,150.0,yes,no,24/7,Mobi.E,2,200.0,no,0,0.0,150.0,1,0,0,0,0,1
VIS-00088…96 / VIS-00089,child_point,child/node/8225238550,2,60.0,yes,no,24/7,Mobi.E,2,110.0,no,0,0.0,60.0,1,0,0,0,0,1
VIS-00088…96 / VIS-00096,child_point,child/node/10901519583,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VIS-00088…96 / VIS-00095,child_point,child/node/10901519584,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VIS-00088…96 / VIS-00094,child_point,child/node/10901519585,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VIS-00088…96 / VIS-00093,child_point,child/node/10901519586,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VIS-00088…96 / VIS-00091,child_point,child/node/10901519587,2,60.0,yes,no,24/7,Mobi.E,2,110.0,no,0,0.0,60.0,1,0,0,0,0,1
VIS-00088…96 / VIS-00090,child_point,child/node/10901519588,2,60.0,yes,no,24/7,Mobi.E,2,110.0,no,0,0.0,60.0,1,0,0,0,0,1
VFR-00056,way,way/1285323423,2,0.0,yes,,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
VFR-00056 / VFR-00056,child_point,child/node/12583091688,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,1,0,0,0,1,1
ABF-90007,way,way/1329498284,2,0.0,yes,,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
ABF-90007 / ABF-90007,child_point,child/node/12670330739,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
ABF-00078,way,way/1329500709,2,0.0,yes,,24/7,Mobi.E,0,0.0,yes,-2,0.0,0.0,,,,,,
CNT-00008/11/25/26,way,way/1342439754,8,620.0,yes,,24/7,Mobi.E,9,1792.0,no,1,22.0,620.0,1,0,0,1,0,7
CNT-00008/11/25/26 / CNT-00011,child_point,child/node/8969154280,2,142.0,yes,no,24/7,Mobi.E,3,192.0,no,1,22.0,142.0,1,0,0,1,0,1
CNT-00008/11/25/26 / CNT-00008,child_point,child/node/8969154281,2,200.0,yes,no,24/7,Mobi.E,2,400.0,no,0,0.0,200.0,0,0,0,0,0,2
CNT-00008/11/25/26 / CNT-00026,child_point,child/node/12070592522,2,300.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,300.0,0,0,0,0,0,2
CNT-00008/11/25/26 / CNT-00025,child_point,child/node/12070592523,2,300.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,300.0,0,0,0,0,0,2
SNT-00187…191,way,way/1345285584,18,0.0,yes,,24/7,,10,432.0,yes,-8,22.0,410.0,4,0,0,0,1,5
SNT-00187…191 / SNT-00188,child_point,child/node/9528248001,2,0.0,yes,no,24/7,Mobi.E,3,132.0,no,1,22.0,110.0,1,0,0,0,1,1
SNT-00187…191 / SNT-00190,child_point,child/node/9528248002,2,0.0,yes,no,24/7,Mobi.E,2,60.0,no,0,0.0,60.0,1,0,0,0,0,1
SNT-00187…191 / SNT-00189,child_point,child/node/10901394384,2,0.0,yes,no,24/7,Mobi.E,2,60.0,no,0,0.0,60.0,1,0,0,0,0,1
SNT-00187…191 / SNT-00191,child_point,child/node/10901394385,2,0.0,yes,no,24/7,Mobi.E,2,60.0,no,0,0.0,60.0,1,0,0,0,0,1
SNT-00187…191 / SNT-00187,child_point,child/node/10901394386,2,0.0,yes,no,24/7,Mobi.E,1,120.0,no,-1,0.0,120.0,0,0,0,0,0,1
CNT-00007/10/23/24,way,way/1345490798,8,620.0,yes,,24/7,Mobi.E,9,1762.0,no,1,22.0,620.0,1,0,0,1,0,7
CNT-00007/10/23/24 / CNT-00010,child_point,child/node/8969154278,2,0.0,yes,no,24/7,Mobi.E,3,162.0,no,1,22.0,140.0,1,0,0,1,0,1
CNT-00007/10/23/24 / CNT-00007,child_point,child/node/8969154279,2,0.0,yes,no,24/7,Mobi.E,2,400.0,no,0,0.0,400.0,0,0,0,0,0,2
CNT-00007/10/23/24 / CNT-00024,child_point,child/node/12070592524,2,0.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,600.0,0,0,0,0,0,2
CNT-00007/10/23/24 / CNT-00023,child_point,child/node/12070592525,2,0.0,yes,no,24/7,Mobi.E,2,600.0,no,0,0.0,600.0,0,0,0,0,0,2
Alcácer do Sal Supercharger,way,way/1345525835,14,1050.0,customers,,24/7,Tesla,10,1500.0,yes,-4,0.0,1050.0,0,0,10,0,0,0
Alcácer do Sal Supercharger / 3B,child_point,child/node/5746376269,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 3A,child_point,child/node/12447536820,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 1A,child_point,child/node/12447536821,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 1B,child_point,child/node/12447536822,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 2A,child_point,child/node/12447536823,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 2B,child_point,child/node/12447536824,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 5B,child_point,child/node/12447536825,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 5A,child_point,child/node/12447536826,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 4B,child_point,child/node/12447536827,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
Alcácer do Sal Supercharger / 4A,child_point,child/node/12447536828,1,0.0,customers,,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,1,0,0,0
CTB-?????,way,way/1346487664,8,0.0,yes,,24/7,Mobi.E,0,0.0,yes,-8,0.0,0.0,,,,,,
Montemor-o-Novo Supercharger,way,way/1346498215,8,600.0,yes,,24/7,Tesla,8,1200.0,no,0,0.0,600.0,0,0,0,0,0,8
Montemor-o-Novo Supercharger / 1A,child_point,child/node/5378178475,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Montemor-o-Novo Supercharger / 4B,child_point,child/node/12454246612,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Montemor-o-Novo Supercharger / 4A,child_point,child/node/12454246613,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Montemor-o-Novo Supercharger / 3B,child_point,child/node/12454246614,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Montemor-o-Novo Supercharger / 3A,child_point,child/node/12454246615,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Montemor-o-Novo Supercharger / 2B,child_point,child/node/12454246616,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Montemor-o-Novo Supercharger / 2A,child_point,child/node/12454246617,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Montemor-o-Novo Supercharger / 1B,child_point,child/node/12454246618,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger,way,way/1346610986,32,2800.0,yes,,24/7,Tesla,32,6600.0,no,0,0.0,2800.0,0,0,0,0,0,32
Fátima Supercharger / 1A,child_point,child/node/5378152458,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 7B,child_point,child/node/12455731091,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 7A,child_point,child/node/12455731092,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 6B,child_point,child/node/12455731093,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 6A,child_point,child/node/12455731094,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 5B,child_point,child/node/12455731095,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 5A,child_point,child/node/12455731096,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 4B,child_point,child/node/12455731097,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 4A,child_point,child/node/12455731098,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 3B,child_point,child/node/12455731099,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 3A,child_point,child/node/12455731100,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 2B,child_point,child/node/12455741001,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 2A,child_point,child/node/12455741002,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 1B,child_point,child/node/12455741003,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Fátima Supercharger / 12B,child_point,child/node/12800103111,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 12A,child_point,child/node/12800103112,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 11D,child_point,child/node/12800103113,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 11C,child_point,child/node/12800103114,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 11B,child_point,child/node/12800103115,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 11A,child_point,child/node/12800103116,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 10D,child_point,child/node/12800103117,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 10C,child_point,child/node/12800103118,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 10B,child_point,child/node/12800103119,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 10A,child_point,child/node/12800103120,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 9D,child_point,child/node/12800103121,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 9C,child_point,child/node/12800103122,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 9B,child_point,child/node/12800103123,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 9A,child_point,child/node/12800103124,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 8D,child_point,child/node/12800103125,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 8C,child_point,child/node/12800103126,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 8B,child_point,child/node/12800103127,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Fátima Supercharger / 8A,child_point,child/node/12800103128,1,0.0,yes,yes,24/7,Tesla,1,250.0,no,0,0.0,250.0,0,0,0,0,0,1
Guarda Supercharger,way,way/1346617446,8,600.0,yes,,24/7,Tesla,8,1200.0,no,0,0.0,600.0,0,0,0,0,0,8
Guarda Supercharger / 1A,child_point,child/node/5624728860,1,150.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Guarda Supercharger / 3B,child_point,child/node/12455771321,1,150.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Guarda Supercharger / 4A,child_point,child/node/12455771322,1,150.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Guarda Supercharger / 4B,child_point,child/node/12455771323,1,150.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Guarda Supercharger / 3A,child_point,child/node/12455771324,1,150.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Guarda Supercharger / 2B,child_point,child/node/12455771325,1,150.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Guarda Supercharger / 2A,child_point,child/node/12455771326,1,150.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Guarda Supercharger / 1B,child_point,child/node/12455771327,1,150.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Mealhada Supercharger,way,way/1346635917,40,3250.0,yes,,24/7,Tesla,40,8000.0,no,0,0.0,3250.0,0,0,0,0,0,40
Mealhada Supercharger / 11A,child_point,child/node/8132694667,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Mealhada Supercharger / 10B,child_point,child/node/12455915560,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
Mealhada Supercharger / 10A,child_point,child/node/12455915561,1,0.0,yes,no,24/7,Tesla,1,150.0,no,0,0.0,150.0,0,0,0,0,0,1
