identifier,type,id,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:tesla_destination,socket:tesla_supercharger_ccs,socket:type2,socket:type2_cable,socket:type2_combo
CSC-00386,unassigned_point,node/12992394836,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00385,unassigned_point,node/12992394837,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MTJ-00098,unassigned_point,node/12992395108,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
LSB-00994,unassigned_point,node/12992414110,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MTJ-00114,unassigned_point,node/12992415093,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MTJ-00113,unassigned_point,node/12992415094,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MTJ-00100,unassigned_point,node/12992415095,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
MTJ-00099,unassigned_point,node/12992415096,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
OER-00257,unassigned_point,node/12992451807,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
TVD-00079,unassigned_point,node/12994421693,2,0.0,yes,yes,24/7,Mobi.E,2,180.0,no,0,0.0,180.0,0,0,0,0,0,2
node/12995863894,unassigned_point,node/12995863894,2,0.0,private,no,24/7,Mobi.E,2,13.8,no,0,0.0,13.8,0,0,0,2,0,0
BGC-00023,unassigned_point,node/12996038827,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
BGC-00022,unassigned_point,node/12996038828,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
AVR-00095,unassigned_point,node/12996056731,2,0.0,yes,no,09:00-21:30,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
