identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
BFIN-00001,unassigned_point,node/13910643854,Bluecharge,2,0.0,customers,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
LRA-?????,unassigned_point,node/13913042971,Cepsa,1,0.0,yes,yes,24/7,Mobi.E,1,400.0,yes,0,0.0,400.0,,,,,,,,,1,400.0
LRA-?????,unassigned_point,node/13913042972,Cepsa,1,0.0,yes,yes,24/7,Mobi.E,1,400.0,yes,0,0.0,400.0,,,,,,,,,1,400.0
LRA-?????,unassigned_point,node/13913042973,Cepsa,1,0.0,yes,yes,24/7,Mobi.E,1,400.0,yes,0,0.0,400.0,,,,,,,,,1,400.0
LRA-?????,unassigned_point,node/13913042974,Cepsa,1,0.0,yes,yes,24/7,Mobi.E,1,400.0,yes,0,0.0,400.0,,,,,,,,,1,400.0
LRA-?????,unassigned_point,node/13913042975,Cepsa,1,0.0,yes,yes,24/7,Mobi.E,1,400.0,yes,0,0.0,400.0,,,,,,,,,1,400.0
ALM-?????,unassigned_point,node/13914861750,Charging Together,2,0.0,yes,yes,24/7,Mobi.E,2,800.0,yes,0,0.0,800.0,,,,,,,,,2,400.0
ALM-?????,unassigned_point,node/13914861752,Charging Together,2,0.0,yes,yes,24/7,Mobi.E,2,800.0,yes,0,0.0,800.0,,,,,,,,,2,400.0
MTS-00208,unassigned_point,node/13915061733,Zunder,2,0.0,yes,yes,24/7,Mobi.E,2,800.0,yes,0,0.0,800.0,,,,,,,,,2,400.0
MTS-00207,unassigned_point,node/13915061734,Zunder,2,0.0,yes,yes,24/7,Mobi.E,2,800.0,yes,0,0.0,800.0,,,,,,,,,2,400.0
MTS-00210,unassigned_point,node/13915061735,Zunder,2,0.0,yes,yes,24/7,Mobi.E,2,800.0,yes,0,0.0,800.0,,,,,,,,,2,400.0
MTS-00209,unassigned_point,node/13915061738,Zunder,2,0.0,yes,yes,24/7,Mobi.E,2,800.0,yes,0,0.0,800.0,,,,,,,,,2,400.0
LSB-01182,unassigned_point,node/13915324949,EMEL,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
LSB-01181,unassigned_point,node/13915324960,EMEL,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
LSB-80049,unassigned_point,node/13915381868,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,7.4,no,0,0.0,7.4,,,,,2,3.7,,,,
ODV-00051,unassigned_point,node/13915414372,Logical Gravity,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
CSC-00528,unassigned_point,node/13918358130,True Kare,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
CSC-00525,unassigned_point,node/13918383393,True Kare,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
CSC-00567,unassigned_point,node/13918419718,True Kare,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
CSC-00556,unassigned_point,node/13918431296,True Kare,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
STB-00123,unassigned_point,node/13922021983,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
